Predicate,Number
approvedDocument,4
ontologysubClassOf,4
hiddenLabel,4
leadBy,4
MaxCardinality,4
file-release,4
componentProperty,4
hasMotivation,4
vendor,4
default,4
min,4
covers,4
setting,4
e-temporal-location,4
necessity-relevance,4
isOvertaking,4
speedWithBeforeTheGapCar,4
isInFrontOfOvertaker,4
hasSpaceLateral,4
bigSpeedDifference,4
hasSpaceAhead,4
hasSpaceBehind,4
sameClassAs,4
secretesToxin,4
containsInformation,4
subField,4
primaryGeopoliticalSubdivision,4
meatOfAnimal,4
dateDissolved,4
isUsedByDevice,4
isaPartOf,4
isTheQualityOfSomethingWithAttribute,4
containsCodeString,4
produced,4
speaksLanguage,4
isNormallyLocatedAt,4
impliesPriorEventType,4
wasExperiencedBy,4
doesNotHavePart,4
isInList,4
hasStartingPlace,4
hadObjectTransferred,4
containsCode,4
occurredInTimeInterval,4
isFasterThan,4
isInTheMindOf,4
hasPhysicalRepresentation,4
isTheAttributeOfSomethingProducedBy,4
hadObjectModified,4
identifies,4
servesAsaPathFor,4
isLargerBy1000than,4
informalTerm,4
isDirectedToward,4
isTheAttributeOfSomethingUnlikelyToUndergo,4
isanAbstractRepresentationOf,4
enablesOrAssists,4
has,4
hasInfinitiveForm,4
hasApproximateValue,4
isaCitizenOf,4
appliesInJurisdiction,4
perceivingCausesMentalEvent,4
nature,3
attributesResourceSpecialist,3
unit,3
spatial,3
address,3
number,3
hasAttributeIE,3
synonym,3
appendix,3
chapter,3
_25,3
discussionList,3
_example,3
componentAttachment,3
componentRequired,3
entities,3
codeList,3
transcription,3
wiki,3
ratingScaleMin,3
subPropertyof,3
toDoList,3
Literal,3
relatedDocumentation,3
mailing-list,3
normative-reference,3
relatedWebPage,3
dateOfIntroduction,3
Objectif,3
impliesAlso,3
directlyMoreCertainThan,3
directlyLessCertainThan,3
uriSpace,3
last,3
previousPublishedVersion,3
hasSteward,3
turtleFileURL,3
latestPublishedVersion,3
hasOwner,3
hasRole,3
represents,3
hasInput,3
followsEvaluationMethod,3
conversionOffset,3
code1,3
code2,3
prefSymbol,3
constructor,3
licenseDoc,3
r-location,3
closing-time,3
opening-time,3
beforeTheGap,3
lastFirstBeforeAfter-TheGap,3
yearValue,3
hasVintageYear,3
adjacentRegion,3
hasValueFloat,3
decimalValue,3
hasUoM,3
commandRankOfEchelon,3
causesSubclass,3
typicalPart,3
subsumesContentClass,3
naturalHazardTypeInArea,3
modalAttribute,3
initialPart,3
hadDamagedObject,3
hasEndingPlace,3
hasUnitObject,3
isDesiredBy,3
hasSingularForm,3
containsObjects,3
isTypicallyPerformedAt,3
typicallyHasPhysicalPart,3
isTheAttributeOfSomethingLacking,3
isTheAttributeOfSomethingThatDidNotExperience,3
wnel,3
hasAbbreviation,3
refersToFutureSituation,3
hasPositiveForm,3
isTheSuperlativeOfAttribute,3
modifies,3
isaProperPartOf,3
contains,3
isTheCreatorOf,3
hasGender,3
partsHaveTypeInCommon,3
hasAuthorityOver,3
usesSenseOrOrgan,3
isDesiredIn,3
isWeightFraction,3
isTheNominalFormOf,3
isTheMainTopicOf,3
hasAlias,3
hasUniquePrefix,3
isaLocationForCharacteristicActivity,3
hasMultipleValue,3
occupiesTheRegion,3
hasURL,3
hasTheAttributeNominalForm,3
refersToExternalEntity,3
isaConstituentSubstanceOf,3
isTheCauseOfMentalSituation,3
isaHigherLevelOf,3
hadThingAffected,3
wnsynset,3
isTheProgressiveFormOf,3
isaGraduateOf,3
isSomethingOtherThan,3
causesAilment,3
hasName,3
keyLength,2
requiresIncome,2
siteOf,2
acceptsPaymentMethod,2
country-name,2
hasLanguageAvailability,2
excludesFromWebsite,2
hasApplicationProcess,2
hasAgency,2
postal-code,2
opensAtTimes,2
isSeasonal,2
requiresFamily,2
locality,2
hasRelated,2
hasSeasonalSchedule,2
isConfidential,2
isInCensusTract,2
isMailingAddress,2
hasAddress,2
hasRecordOwner,2
hasGenderRequirement,2
requiresResidency,2
hasYearIncorporated,2
hasAlternateName,2
organization-name,2
isLicensedBy,2
requiresGender,2
hasLanguageTimeOpen,2
requiresDocument,2
isPhysicalAddress,2
hasFEIN,2
hasLicenseAccreditation,2
hasLegalStatus,2
isNotAlwaysAvailable,2
requiresGeneralEligibility,2
street-address,2
requiresMinimumAge,2
isInCensusTrack,2
issn,2
doi,2
numerical_value,2
refBaseSystemUnitPath,2
_36,2
_37,2
_33,2
_35,2
_28,2
_34,2
_27,2
_32,2
_26,2
_31,2
_29,2
_30,2
commercial,2
references,2
ramge,2
_addressProperty,2
requireStimuliType,2
hasApplicationMode,2
appliedInContextType,2
weight,2
scale,2
Restriction,2
ipr,2
hasBegin,2
download-page,2
owlversionInfo,2
confidence,2
validity,2
relativeLocation,2
altRelative,2
alt,2
lat,2
long,2
trial,2
Prefix,2
attributedSource,2
ontologyIRI,2
workplaceHomepage,2
theme,2
kabel,2
castleType,2
DataPropertyRange,2
DataPropertyDomain,2
produced_in,2
email,2
about,2
release,2
IAO_0000603,2
ImplementAPI,2
commenet,2
subClasOf,2
inactivityPeriod,2
itemClass,2
dateAccepted,2
usage,2
ID,2
isEquivalentTo,2
className,2
message,2
hasSingularUnit,2
hasImplementation,2
hasEvaluationDimension,2
motivatesApproach,2
os,2
hasResult,2
hasEvaluation,2
conversionMultiplier,2
symbol,2
quantityKind,2
citesAsAuthority,2
earlier_version,2
hasUnitTest,2
isSpecializationOf,2
greater,2
style,2
max,2
dependingOn,2
performs,2
begining-date,2
ending-date,2
expected-setting-for,2
develop_comment,2
rdfxmlFileURL,2
hasComponentMapping,2
fundedBy,2
hasMinValueFloat,2
hasMaxValueFloat,2
hasLogo,2
basedOn,2
successorOrganization,2
models,2
nationalHoliday,2
subLanguage,2
hasDesignFunction,2
isControlledBy,2
wasAffectedByEvent,2
stimulates,2
typicallyOccursInside,2
hasBoilingPoint,2
hasProperPart,2
agentHasAttribute,2
isDefinedInContext,2
hasMonomerUnit,2
isSlowerThan,2
hasAtomicNumber,2
functionsTogetherWith,2
isSecretedBy,2
hasSubject,2
hasStringDatatype,2
typicallyStarts,2
assertsAttributeOrType,2
hasReturnValue,2
isCelebratedOn,2
isTheAttributeOfSomeoneEngagedIn,2
isaDesignFunctionOf,2
isBiologicallyDerivedFrom,2
isMoreIntensiveThan,2
wasAssignedByAuthority,2
hasNominalForm,2
violatesRule,2
hasNamespacePrefix,2
hadMainParticipant,2
isUsedAsInstrumentInAction,2
isInsideOf,2
hasProbability,2
isaDriedFormOfSubstance,2
hasRelation,2
controls,2
wasCausedBy,2
isaRitualOfGroup,2
isTheGovernmentOf,2
hasFrequencyOfUse,2
hasContrastingTrait,2
hasComponentObjectType,2
consistsOfSubstance,2
wasRealizedByAction,2
hadActionPerformed,2
owns,2
mayFillTheRoleOf,2
performsAction,2
hadAgentHarmed,2
isContainedIn,2
hasSynonymousTerm,2
finishes,2
isaFeatureOf,2
isTheAttributeOfSomethingResembling,2
commemorates,2
BFO,2
hasPostalAddress,2
isTheAttributeOfSomeoneHaving,2
areCitizensOf,2
hadResult,2
isVeryKnowledgeableAbout,2
isUsedInLanguage,2
wasOriginallyCreatedBy,2
mayBeCausedByPerceivingSomethingWithAttribute,2
hadIngestedSubstance,2
hadIngestingAgent,2
hasAssociatedGroupType,2
hadObjectTouched,2
hasFrequency,2
nsm,2
excludesFromDirectory,1
offersSpokenLanguage,1
term_Status,1
eliasNote,1
dannyNote,1
library-id,1
dewey-call-number,1
annote,1
isbn,1
genre,1
month,1
call-number,1
lastWritingDateTime,1
hasNameFile,1
hasWriterVendorURL,1
hasAttributeIC,1
hasSchemaVersion,1
hasUnitAttribute,1
hasWriterId,1
hasWriterName,1
hasWriterVersion,1
hasAdditionalInformation,1
hasWriterRelease,1
hasAMLVersion,1
unit_of_measure,1
hasExternalInterface,1
hasRefBaseClassPathIC,1
hasInternalElement,1
hasICID,1
hasNameIH,1
hasWriterVendor,1
hasNameIC,1
help,1
objectPropertyDomain,1
terms_status,1
InteractiveResource,1
tableOfContents,1
valueListType,1
Language,1
coment,1
persistencePolicy,1
rules,1
ideaQuantity,1
funFactor,1
energy,1
vannpreferredNamespacePrefix,1
isSupportedBy,1
vannpreferredNamespaceUri,1
applyEvaluationThanks,1
novelty,1
evalTechAppliedBy,1
difficulty,1
isCriterizedBy,1
requireEquipment,1
ScopeNote,1
hasClinicalDiagnosis,1
previousVersion,1
hasEnd,1
obsoletes,1
id,1
isdefinedby,1
subCategory,1
dtm,1
shortdesc,1
generatorAgent,1
hasDefaultPolicyMode,1
aggregationType,1
Datatype,1
hasPayloadFormat,1
FN,1
ORG,1
N,1
estMecanisme,1
equivalentUnitClass,1
equivalentQuantity,1
sparqlEndpoint,1
previousVersionURI,1
isDefinedby,1
webpage,1
browse,1
register,1
entity,1
sourceGraph,1
accountName,1
dateSubmitted,1
submitter,1
namespaceTransformation,1
Purpose,1
Scope,1
implements,1
todo,1
wasQuotedFrom,1
fieldCode,1
isMetadataFor,1
reifiableBy,1
maxLength,1
hasAspectScope,1
hasDomainScope,1
hasDisciplineScope,1
objectPropertyRange,1
descripion,1
profileTransformation,1
termsrights,1
termscreator,1
termsissued,1
termstitle,1
termsdescription,1
termspublisher,1
termsmodified,1
accomplishes,1
hasInputParameter,1
offers,1
hasOutputParameter,1
isOfferedBy,1
lastModified,1
hasDimension,1
supportsSecurityobjectives,1
suggestedShapesGraph,1
prefix,1
in,1
declare,1
fn,1
creationForm,1
owningParty,1
supportedDimension,1
hasDataType,1
hasOccurrence,1
hasChartName,1
representsChart,1
hasPersistence,1
hasVisualChannel,1
hasPrologue,1
wasAttributedTo,1
disjointObjectProperties,1
specifically-constantly-dependent-on,1
specific-constant-dependent,1
dateCopyrighted,1
primaryGeopoliticalSubdivisionType,1
militaryOfArea,1
groundSubsurfaceType,1
agreementAdoptionDate,1
formerName,1
typicallyContainsPart,1
inScopeOfInterest,1
totalArea,1
chiefOfStateType,1
effectiveDose,1
agentOperatesInArea,1
subsumesContentInstance,1
groundSurfaceType,1
agreementEffectiveDate,1
elevation,1
subProcess,1
isanAnniversaryOf,1
isaTimeSliceOf,1
wasTheResultOfEvent,1
isTypicallyConnectedBy,1
wasaPreparationFor,1
isDescribedByBLOBatURL,1
isTheProductOf,1
hadObjectMoved,1
mayCause,1
hasQuantityUnit,1
atTime,1
hasLastEditDate,1
isaTendencyToPerformAction,1
hasConstituentSubstance,1
hasDensityInGramsPerCC,1
typicallyFinishes,1
hasPurpose,1
isaRequiredResourceFor,1
isTheColorOf,1
hadRecipient,1
disposesToFeeling,1
propels,1
hasMaximumValue,1
wasFoundInAction,1
isCreatedByAgentType,1
hadInformationTransferred,1
isLargerBy453.6than,1
usesSubstance,1
isTheCapitalCityOf,1
of,1
causedChange,1
SUMO,1
wasMotivatedByEvent,1
isAnActionDisposedByTendency,1
improves,1
